address,vrf,tenant,status,role,device,virtual_machine,interface_name,is_primary,description
10.20.1.11/24,,,Active,,R11,,GigabitEthernet1,True,
10.20.1.12/24,,,Active,,R12,,GigabitEthernet1,True,
10.20.1.13/24,,,Active,,R13,,GigabitEthernet1,True,
10.20.1.14/24,,,Active,,R14,,GigabitEthernet1,True,
10.20.1.15/24,,,Active,,R15,,GigabitEthernet1,True,
10.20.1.16/24,,,Active,,R16,,GigabitEthernet1,True,
10.20.1.21/24,,,Active,,sw01,,GigabitEthernet0/0,True,
10.20.1.22/24,,,Active,,sw02,,GigabitEthernet0/0,True,
172.16.12.1/16,,,Active,,R11,,GigabitEthernet2.12,,
172.16.12.2/16,,,Active,,R12,,GigabitEthernet2.12,,
172.16.13.1/16,,,Active,,R11,,GigabitEthernet2.13,,
172.16.13.3/16,,,Active,,R13,,GigabitEthernet2.13,,
172.16.14.1/16,,,Active,,R11,,GigabitEthernet2.14,,
172.16.14.4/16,,,Active,,R14,,GigabitEthernet2.14,,
172.16.23.2/16,,,Active,,R12,,GigabitEthernet2.23,,
172.16.23.3/16,,,Active,,R13,,GigabitEthernet2.23,,
172.16.24.2/16,,,Active,,R12,,GigabitEthernet2.24,,
172.16.24.4/16,,,Active,,R14,,GigabitEthernet2.24,,
172.16.34.3/16,,,Active,,R13,,GigabitEthernet2.34,,
172.16.34.4/16,,,Active,,R14,,GigabitEthernet2.34,,
172.16.35.3/16,,,Active,,R13,,GigabitEthernet2.35,,
172.16.35.5/16,,,Active,,R15,,GigabitEthernet2.35,,
172.16.36.3/16,,,Active,,R13,,GigabitEthernet2.36,,
172.16.36.6/16,,,Active,,R16,,GigabitEthernet2.36,,
172.16.45.4/16,,,Active,,R14,,GigabitEthernet2.45,,
172.16.45.5/16,,,Active,,R15,,GigabitEthernet2.45,,
172.16.46.4/16,,,Active,,R14,,GigabitEthernet2.46,,
172.16.46.6/16,,,Active,,R16,,GigabitEthernet2.46,,
172.16.56.5/16,,,Active,,R15,,GigabitEthernet2.56,,
172.16.56.6/16,,,Active,,R16,,GigabitEthernet2.56,,
172.16.100.3/16,,,Active,,R16,,GigabitEthernet2.100,,
